iter	Passed	Remaining
1381	14701	5531
1382	14713	5521
1383	14731	5513
1384	14736	5501
1385	14748	5490
1386	14756	5479
1387	14764	5467
1388	14772	5455
1389	14780	5444
1390	14791	5433
1391	14799	5422
1392	14803	5409
1393	14811	5397
1394	14819	5386
1395	14828	5374
1396	14835	5362
1397	14842	5350
1398	14848	5338
1399	14864	5329
1400	14880	5321
1401	14896	5312
1402	14907	5302
1403	14915	5290
1404	14925	5279
1405	14945	5272
1406	14960	5263
1407	14969	5251
1408	14976	5240
1409	14987	5229
1410	14994	5217
1411	15002	5206
1412	15013	5195
1413	15031	5187
1414	15047	5178
1415	15058	5168
1416	15069	5157
1417	15078	5146
1418	15086	5135
1419	15104	5126
1420	15110	5114
1421	15118	5103
1422	15124	5091
1423	15132	5079
1424	15138	5067
1425	15156	5059
1426	15163	5047
1427	15170	5035
1428	15177	5023
1429	15201	5017
1430	15221	5009
1431	15238	5001
1432	15254	4992
1433	15268	4983
1434	15275	4971
1435	15287	4960
1436	15296	4949
1437	15307	4939
1438	15315	4927
1439	15323	4916
1440	15335	4905
1441	15348	4896
1442	15359	4885
1443	15373	4876
1444	15388	4866
1445	15399	4856
1446	15406	4844
1447	15414	4832
1448	15419	4820
1449	15427	4809
1450	15433	4796
1451	15440	4785
1452	15460	4777
1453	15472	4767
1454	15479	4755
1455	15487	4744
1456	15494	4732
1457	15499	4720
1458	15508	4708
1459	15518	4697
1460	15529	4687
1461	15546	4678
1462	15560	4669
1463	15569	4658
1464	15576	4646
1465	15583	4634
1466	15591	4623
1467	15596	4611
1468	15604	4599
1469	15623	4591
1470	15632	4580
1471	15642	4569
1472	15650	4558
1473	15658	4546
1474	15664	4534
1475	15669	4522
1476	15683	4512
1477	15702	4504
1478	15717	4495
1479	15728	4484
1480	15740	4474
1481	15749	4463
1482	15757	4452
1483	15768	4441
1484	15805	4438
1485	15832	4432
1486	15845	4422
1487	15858	4412
1488	15874	4403
1489	15883	4391
1490	15888	4379
1491	15897	4368
1492	15906	4357
1493	15925	4349
1494	15939	4339
1495	15948	4328
1496	15954	4316
1497	15962	4304
1498	15969	4293
1499	15976	4281
1500	15984	4270
1501	15996	4260
1502	16006	4249
1503	16034	4243
1504	16051	4234
1505	16073	4226
1506	16089	4217
1507	16101	4206
1508	16113	4196
1509	16123	4185
1510	16135	4175
1511	16143	4164
1512	16150	4152
1513	16157	4140
1514	16175	4131
1515	16191	4122
1516	16202	4112
1517	16212	4101
1518	16221	4090
1519	16234	4079
1520	16245	4069
1521	16255	4058
1522	16265	4047
1523	16273	4036
1524	16280	4024
1525	16287	4013
1526	16294	4001
1527	16299	3989
1528	16305	3977
1529	16312	3966
1530	16321	3955
1531	16332	3944
1532	16349	3935
1533	16363	3925
1534	16371	3914
1535	16382	3903
1536	16392	3892
1537	16398	3880
1538	16405	3869
1539	16414	3858
1540	16424	3847
1541	16433	3836
1542	16443	3825
1543	16452	3814
1544	16460	3803
1545	16469	3792
1546	16478	3781
1547	16485	3769
1548	16493	3758
1549	16498	3746
1550	16510	3736
1551	16521	3725
1552	16529	3714
1553	16536	3703
1554	16551	3693
1555	16565	3683
1556	16586	3675
1557	16613	3668
1558	16621	3657
1559	16629	3645
1560	16657	3638
1561	16669	3628
1562	16691	3620
1563	16706	3610
1564	16718	3600
1565	16734	3590
1566	16744	3579
1567	16754	3568
1568	16763	3557
1569	16771	3546
1570	16780	3535
1571	16785	3523
1572	16797	3513
1573	16811	3503
1574	16822	3492
1575	16831	3481
1576	16839	3470
1577	16852	3460
1578	16865	3450
1579	16878	3439
1580	16889	3429
1581	16898	3418
1582	16905	3406
1583	16914	3395
1584	16920	3384
1585	16930	3373
1586	16939	3362
